author_type,floor,floors_count,rooms_count,total_meters,underground,availability_underground,price_per_meter
homeowner,3,5,2,42.6,not available,False,90376
real_estate_agent,24,24,1,39.9,not available,False,110476
representative_developer,2,24,1,30.3,not available,False,175652
realtor,15,20,1,43.12,not available,False,135668
realtor,1,3,2,53.5,not available,False,114897
real_estate_agent,4,5,1,31.3,not available,False,210863
real_estate_agent,14,16,1,36.0,Проспект Большевиков,True,191667
real_estate_agent,19,19,1,24.0,not available,False,345833
real_estate_agent,1,5,1,40.9,Купчино,True,222494
real_estate_agent,4,5,2,58.0,Елизаровская,True,181034
homeowner,8,8,2,44.0,not available,False,268182
real_estate_agent,12,18,2,69.72,Проспект Большевиков,True,261761
developer,2,13,2,85.9,not available,False,220000
developer,3,8,1,39.3,Крестовский остров,True,486475
developer,3,9,2,65.21,not available,False,460000
developer,2,9,2,92.98,Суконная слобода,True,349300
real_estate_agent,11,14,2,113.0,Крестовский остров,True,575221
homeowner,1,5,2,42.2,not available,False,82938
real_estate_agent,5,5,2,47.1,not available,False,101911
realtor,3,3,1,48.9,not available,False,108896
homeowner,1,8,2,64.0,not available,False,103906
real_estate_agent,5,16,2,56.1,Октябрьская,True,156684
developer,1,10,2,61.06,not available,False,149897
real_estate_agent,11,12,1,34.8,Щёлковская,True,268678
developer,3,8,2,76.5,not available,False,164000
developer,25,30,1,37.4,Окская,True,343737
real_estate_agent,9,27,1,47.1,Нагорная,True,467070
realtor,8,27,2,74.3,ЗИЛ,True,376851
developer,2,13,2,121.4,not available,False,230000
developer,2,9,2,66.53,not available,False,438900
real_estate_agent,14,21,2,57.0,Народное Ополчение,True,542105
real_estate_agent,4,20,1,76.13,Тульская,True,422500
real_estate_agent,3,5,1,46.3,Новокузнецкая,True,900000
developer,13,18,2,83.5,Фили,True,520707
realtor,15,25,1,35.0,not available,False,114286
real_estate_agent,21,26,1,35.3,Улица Дыбенко,True,240793
realtor,3,5,2,52.8,Купчино,True,186553
homeowner,9,15,2,70.0,not available,False,150000
real_estate_agent,8,9,1,50.0,not available,False,305000
real_estate_agent,15,20,2,60.0,not available,False,325000
real_estate_agent,4,8,2,70.0,Крестовский остров,True,457143
real_estate_agent,11,14,2,113.0,Чкаловская,True,575221
real_estate_agent,11,21,1,49.0,not available,False,101837
developer,2,25,2,50.68,not available,False,115970
homeowner,8,9,2,44.0,Золотая Нива,True,170455
developer,10,16,1,46.7,not available,False,170000
realtor,2,3,1,74.5,not available,False,119893
developer,5,9,2,56.8,not available,False,184859
developer,3,8,2,77.4,not available,False,149225
real_estate_agent,1,8,2,49.3,not available,False,283976
real_estate_agent,4,4,1,46.0,not available,False,73913
real_estate_agent,1,5,1,29.8,not available,False,125839
real_estate_agent,2,16,1,38.0,not available,False,105263
real_estate_agent,1,5,2,45.0,not available,False,93111
unknown,4,5,1,33.0,not available,False,136364
homeowner,10,16,1,40.0,not available,False,116250
representative_developer,2,21,1,33.66,not available,False,140000
realtor,5,17,1,41.2,not available,False,116505
representative_developer,19,20,1,39.1,not available,False,125000
realtor,2,3,1,41.0,not available,False,119878
real_estate_agent,15,15,1,35.0,not available,False,142857
representative_developer,2,24,1,40.58,not available,False,129720
representative_developer,4,12,1,33.7,not available,False,165000
realtor,3,3,1,56.0,not available,False,108893
representative_developer,12,16,1,56.07,not available,False,144997
real_estate_agent,7,18,2,45.0,not available,False,184611
real_estate_agent,7,9,1,31.8,Щёлковская,True,283019
real_estate_agent,3,22,1,39.0,not available,False,273077
representative_developer,13,15,2,49.8,not available,False,230000
realtor,6,9,2,40.0,Сходненская,True,349750
developer,3,29,1,44.1,Новые Черёмушки,True,331300
real_estate_agent,2,19,2,78.2,Горьковская,True,189130
